year,lgid,teamid,franchid,divid,rank,g,w,l,divwin,wcwin,lgwin,wswin,r,ra,name,attendance,payroll
1975,NL,LAN,LAD,W,2,162,88,74,N,,N,N,648,534,Los Angeles Dodgers,2539349,
1976,NL,LAN,LAD,W,2,162,92,70,N,,N,N,608,543,Los Angeles Dodgers,2386301,
1977,NL,LAN,LAD,W,1,162,98,64,Y,,Y,N,769,582,Los Angeles Dodgers,2955087,
1978,NL,LAN,LAD,W,1,162,95,67,Y,,Y,N,727,573,Los Angeles Dodgers,3347845,
1979,NL,LAN,LAD,W,3,162,79,83,N,,N,N,739,717,Los Angeles Dodgers,2860954,
1980,NL,LAN,LAD,W,2,163,92,71,N,,N,N,663,591,Los Angeles Dodgers,3249287,
1981,NL,LAN,LAD,W,2,110,63,47,Y,,Y,Y,450,356,Los Angeles Dodgers,2381292,
1982,NL,LAN,LAD,W,2,162,88,74,N,,N,N,691,612,Los Angeles Dodgers,3608881,
1983,NL,LAN,LAD,W,1,163,91,71,Y,,N,N,654,609,Los Angeles Dodgers,3510313,
1984,NL,LAN,LAD,W,4,162,79,83,N,,N,N,580,600,Los Angeles Dodgers,3134824,
1985,NL,LAN,LAD,W,1,162,95,67,Y,,N,N,682,579,Los Angeles Dodgers,3264593,10967917
1986,NL,LAN,LAD,W,5,162,73,89,N,,N,N,638,679,Los Angeles Dodgers,3023208,14913776
1987,NL,LAN,LAD,W,4,162,73,89,N,,N,N,635,675,Los Angeles Dodgers,2797409,13675403
1988,NL,LAN,LAD,W,1,162,94,67,Y,,Y,Y,628,544,Los Angeles Dodgers,2980262,16850515
1989,NL,LAN,LAD,W,4,160,77,83,N,,N,N,554,536,Los Angeles Dodgers,2944653,21071562
1990,NL,LAN,LAD,W,2,162,86,76,N,,N,N,728,685,Los Angeles Dodgers,3002396,21318704
1991,NL,LAN,LAD,W,2,162,93,69,N,,N,N,665,565,Los Angeles Dodgers,3348170,32790664
1992,NL,LAN,LAD,W,6,162,63,99,N,,N,N,548,636,Los Angeles Dodgers,2473266,44788166
1993,NL,LAN,LAD,W,4,162,81,81,N,,N,N,675,662,Los Angeles Dodgers,3170393,39331999
1994,NL,LAN,LAD,W,1,114,58,56,,,,,532,509,Los Angeles Dodgers,2279355,38000001
1995,NL,LAN,LAD,W,1,144,78,66,Y,N,N,N,634,609,Los Angeles Dodgers,2766251,39273201
1996,NL,LAN,LAD,W,2,162,90,72,N,Y,N,N,703,652,Los Angeles Dodgers,3188454,35355000
1997,NL,LAN,LAD,W,2,162,88,74,N,N,N,N,742,645,Los Angeles Dodgers,3319504,45380304
1998,NL,LAN,LAD,W,3,162,83,79,N,N,N,N,669,678,Los Angeles Dodgers,3089222,48820000
1999,NL,LAN,LAD,W,3,162,77,85,N,N,N,N,793,787,Los Angeles Dodgers,3095346,80862453
2000,NL,LAN,LAD,W,2,162,86,76,N,N,N,N,798,729,Los Angeles Dodgers,2880242,87924286
2001,NL,LAN,LAD,W,3,162,86,76,N,N,N,N,758,744,Los Angeles Dodgers,3017143,109105953
2002,NL,LAN,LAD,W,3,162,92,70,N,N,N,N,713,643,Los Angeles Dodgers,3131255,94850953
2003,NL,LAN,LAD,W,2,162,85,77,N,N,N,N,574,556,Los Angeles Dodgers,3138626,105572620
2004,NL,LAN,LAD,W,1,162,93,69,Y,N,N,N,761,684,Los Angeles Dodgers,3488283,92902001
2005,NL,LAN,LAD,W,4,162,71,91,N,N,N,N,685,755,Los Angeles Dodgers,3603646,83039000
2006,NL,LAN,LAD,W,2,162,88,74,N,Y,N,N,820,751,Los Angeles Dodgers,3758545,98447187
2007,NL,LAN,LAD,W,4,162,82,80,N,N,N,N,735,727,Los Angeles Dodgers,3857036,108454524
2008,NL,LAN,LAD,W,1,162,84,78,Y,N,N,N,700,648,Los Angeles Dodgers,3730553,118588536
2009,NL,LAN,LAD,W,1,162,95,67,Y,N,N,N,780,611,Los Angeles Dodgers,3761655,100414592
2010,NL,LAN,LAD,W,4,162,80,82,N,N,N,N,667,692,Los Angeles Dodgers,3562320,95358016
2011,NL,LAN,LAD,W,3,161,82,79,N,N,N,N,644,612,Los Angeles Dodgers,2935139,104188999
2012,NL,LAN,LAD,W,2,162,86,76,N,N,N,N,637,597,Los Angeles Dodgers,3324246,95143575
2013,NL,LAN,LAD,W,1,162,92,70,Y,N,N,N,649,582,Los Angeles Dodgers,3743527,223362196
2014,NL,LAN,LAD,W,1,162,94,68,Y,N,N,N,718,617,Los Angeles Dodgers,3782337,217014600
2015,NL,LAN,LAD,W,1,162,92,70,Y,N,N,N,667,595,Los Angeles Dodgers,3764815,215792000
2016,NL,LAN,LAD,W,1,162,91,71,Y,N,N,N,725,638,Los Angeles Dodgers,3703312,221288380
2017,NL,LAN,LAD,W,1,162,104,58,Y,N,Y,N,770,580,Los Angeles Dodgers,3765856,242065828
2018,NL,LAN,LAD,W,1,163,92,71,Y,N,Y,N,804,610,Los Angeles Dodgers,3857500,186140000
2019,NL,LAN,LAD,W,1,162,106,56,Y,N,N,N,886,613,Los Angeles Dodgers,3974309,152120002
2020,NL,LAN,LAD,W,1,60,43,17,Y,N,Y,Y,349,213,Los Angeles Dodgers,0,105747176
1969,AL,SE1,MIL,W,6,163,64,98,N,,N,N,639,799,Seattle Pilots,677944,
1970,AL,ML4,MIL,W,4,163,65,97,N,,N,N,613,751,Milwaukee Brewers,933690,
1971,AL,ML4,MIL,W,6,161,69,92,N,,N,N,534,609,Milwaukee Brewers,731531,
1972,AL,ML4,MIL,E,6,156,65,91,N,,N,N,493,595,Milwaukee Brewers,600440,
1973,AL,ML4,MIL,E,5,162,74,88,N,,N,N,708,731,Milwaukee Brewers,1092158,
1974,AL,ML4,MIL,E,5,162,76,86,N,,N,N,647,660,Milwaukee Brewers,955741,
1975,AL,ML4,MIL,E,5,162,68,94,N,,N,N,675,792,Milwaukee Brewers,1213357,
1976,AL,ML4,MIL,E,6,161,66,95,N,,N,N,570,655,Milwaukee Brewers,1012164,
1977,AL,ML4,MIL,E,6,162,67,95,N,,N,N,639,765,Milwaukee Brewers,1114938,
1978,AL,ML4,MIL,E,3,162,93,69,N,,N,N,804,650,Milwaukee Brewers,1601406,
1979,AL,ML4,MIL,E,2,161,95,66,N,,N,N,807,722,Milwaukee Brewers,1918343,
1980,AL,ML4,MIL,E,3,162,86,76,N,,N,N,811,682,Milwaukee Brewers,1857408,
1981,AL,ML4,MIL,E,1,109,62,47,Y,,N,N,493,459,Milwaukee Brewers,874292,
1982,AL,ML4,MIL,E,1,163,95,67,Y,,Y,N,891,717,Milwaukee Brewers,1978896,
1983,AL,ML4,MIL,E,5,162,87,75,N,,N,N,764,708,Milwaukee Brewers,2397131,
1984,AL,ML4,MIL,E,7,161,67,94,N,,N,N,641,734,Milwaukee Brewers,1608509,
1985,AL,ML4,MIL,E,6,161,71,90,N,,N,N,690,802,Milwaukee Brewers,1360265,11284107
1986,AL,ML4,MIL,E,6,161,77,84,N,,N,N,667,734,Milwaukee Brewers,1265041,9943642
1987,AL,ML4,MIL,E,3,162,91,71,N,,N,N,862,817,Milwaukee Brewers,1909244,7293224
1988,AL,ML4,MIL,E,3,162,87,75,N,,N,N,682,616,Milwaukee Brewers,1923238,8402000
1989,AL,ML4,MIL,E,4,162,81,81,N,,N,N,707,679,Milwaukee Brewers,1970735,11533000
1990,AL,ML4,MIL,E,6,162,74,88,N,,N,N,732,760,Milwaukee Brewers,1752900,19719167
1991,AL,ML4,MIL,E,4,162,83,79,N,,N,N,799,744,Milwaukee Brewers,1478729,23115500
1992,AL,ML4,MIL,E,2,162,92,70,N,,N,N,740,604,Milwaukee Brewers,1857351,31013667
1993,AL,ML4,MIL,E,7,162,69,93,N,,N,N,733,792,Milwaukee Brewers,1688080,23806834
1994,AL,ML4,MIL,C,5,115,53,62,,,,,547,586,Milwaukee Brewers,1268399,24350500
1995,AL,ML4,MIL,C,4,144,65,79,N,N,N,N,740,747,Milwaukee Brewers,1087560,17798825
1996,AL,ML4,MIL,C,3,162,80,82,N,N,N,N,894,899,Milwaukee Brewers,1327155,21730000
1997,AL,ML4,MIL,C,3,161,78,83,N,N,N,N,681,742,Milwaukee Brewers,1444027,23655338
1998,NL,MIL,MIL,C,5,162,74,88,N,N,N,N,707,812,Milwaukee Brewers,1811593,33914904
1999,NL,MIL,MIL,C,5,161,74,87,N,N,N,N,815,886,Milwaukee Brewers,1701796,43377395
2000,NL,MIL,MIL,C,3,163,73,89,N,N,N,N,740,826,Milwaukee Brewers,1573621,36505333
2001,NL,MIL,MIL,C,4,162,68,94,N,N,N,N,740,806,Milwaukee Brewers,2811041,43886833
2002,NL,MIL,MIL,C,6,162,56,106,N,N,N,N,627,821,Milwaukee Brewers,1969153,50287833
2003,NL,MIL,MIL,C,6,162,68,94,N,N,N,N,714,873,Milwaukee Brewers,1700354,40627000
2004,NL,MIL,MIL,C,6,161,67,94,N,N,N,N,634,757,Milwaukee Brewers,2062382,27528500
2005,NL,MIL,MIL,C,3,162,81,81,N,N,N,N,726,697,Milwaukee Brewers,2211023,39934833
2006,NL,MIL,MIL,C,4,162,75,87,N,N,N,N,730,833,Milwaukee Brewers,2335643,57568333
2007,NL,MIL,MIL,C,2,162,83,79,N,N,N,N,801,776,Milwaukee Brewers,2869144,70986500
2008,NL,MIL,MIL,C,2,162,90,72,N,Y,N,N,750,689,Milwaukee Brewers,3068458,80937499
2009,NL,MIL,MIL,C,3,162,80,82,N,N,N,N,785,818,Milwaukee Brewers,3037451,80182502
2010,NL,MIL,MIL,C,3,162,77,85,N,N,N,N,750,804,Milwaukee Brewers,2776531,81108278
2011,NL,MIL,MIL,C,1,162,96,66,Y,N,N,N,721,638,Milwaukee Brewers,3071373,85497333
2012,NL,MIL,MIL,C,3,162,83,79,N,N,N,N,776,733,Milwaukee Brewers,2831385,97653944
2013,NL,MIL,MIL,C,4,162,74,88,N,N,N,N,640,687,Milwaukee Brewers,2531105,76947033
2014,NL,MIL,MIL,C,3,162,82,80,N,N,N,N,650,657,Milwaukee Brewers,2797384,101217000
2015,NL,MIL,MIL,C,4,162,68,94,N,N,N,N,655,737,Milwaukee Brewers,2542558,100850000
2016,NL,MIL,MIL,C,4,162,73,89,N,N,N,N,671,733,Milwaukee Brewers,2314614,68775237
2017,NL,MIL,MIL,C,2,162,86,76,N,N,N,N,732,697,Milwaukee Brewers,2627705,63061300
2018,NL,MIL,MIL,C,1,163,96,67,Y,N,N,N,754,659,Milwaukee Brewers,2850875,90240000
2019,NL,MIL,MIL,C,2,162,89,73,N,Y,N,N,769,766,Milwaukee Brewers,2923333,121530400
2020,NL,MIL,MIL,C,4,60,29,31,N,Y,N,N,247,264,Milwaukee Brewers,0,39405276
1901,AL,WS1,MIN,,6,138,61,72,,,N,,682,771,Washington Senators,161661,
1902,AL,WS1,MIN,,6,138,61,75,,,N,,707,790,Washington Senators,188158,
1903,AL,WS1,MIN,,8,140,43,94,,,N,N,437,691,Washington Senators,128878,
1904,AL,WS1,MIN,,8,157,38,113,,,N,,437,743,Washington Senators,131744,
1905,AL,WS1,MIN,,7,154,64,87,,,N,N,559,623,Washington Senators,252027,
1906,AL,WS1,MIN,,7,151,55,95,,,N,N,519,665,Washington Senators,129903,
1907,AL,WS1,MIN,,8,154,49,102,,,N,N,506,693,Washington Senators,221929,
1908,AL,WS1,MIN,,7,155,67,85,,,N,N,479,539,Washington Senators,264252,
1909,AL,WS1,MIN,,8,156,42,110,,,N,N,380,656,Washington Senators,205199,
1910,AL,WS1,MIN,,7,157,66,85,,,N,N,501,551,Washington Senators,254591,
1911,AL,WS1,MIN,,7,154,64,90,,,N,N,625,766,Washington Senators,244884,
1912,AL,WS1,MIN,,2,154,91,61,,,N,N,699,581,Washington Senators,350663,
1913,AL,WS1,MIN,,2,155,90,64,,,N,N,596,561,Washington Senators,325831,
1914,AL,WS1,MIN,,3,158,81,73,,,N,N,572,519,Washington Senators,243888,
1915,AL,WS1,MIN,,4,155,85,68,,,N,N,569,491,Washington Senators,167332,
1916,AL,WS1,MIN,,7,159,76,77,,,N,N,536,543,Washington Senators,177265,
1917,AL,WS1,MIN,,5,157,74,79,,,N,N,543,566,Washington Senators,89682,
1918,AL,WS1,MIN,,3,130,72,56,,,N,N,461,412,Washington Senators,182122,
1919,AL,WS1,MIN,,7,142,56,84,,,N,N,533,570,Washington Senators,234096,
1920,AL,WS1,MIN,,6,153,68,84,,,N,N,723,802,Washington Senators,359260,
1921,AL,WS1,MIN,,4,154,80,73,,,N,N,704,738,Washington Senators,456069,
1922,AL,WS1,MIN,,6,154,69,85,,,N,N,650,706,Washington Senators,458552,
1923,AL,WS1,MIN,,4,155,75,78,,,N,N,720,747,Washington Senators,357406,
1924,AL,WS1,MIN,,1,156,92,62,,,Y,Y,755,613,Washington Senators,584310,
1925,AL,WS1,MIN,,1,152,96,55,,,Y,N,829,670,Washington Senators,817199,
1926,AL,WS1,MIN,,4,152,81,69,,,N,N,802,761,Washington Senators,551580,
1927,AL,WS1,MIN,,3,157,85,69,,,N,N,782,730,Washington Senators,528976,
1928,AL,WS1,MIN,,4,155,75,79,,,N,N,718,705,Washington Senators,378501,
1929,AL,WS1,MIN,,5,153,71,81,,,N,N,730,776,Washington Senators,355506,
1930,AL,WS1,MIN,,2,154,94,60,,,N,N,892,689,Washington Senators,614474,
1931,AL,WS1,MIN,,3,156,92,62,,,N,N,843,691,Washington Senators,492657,
1932,AL,WS1,MIN,,3,154,93,61,,,N,N,840,716,Washington Senators,371396,
1933,AL,WS1,MIN,,1,153,99,53,,,Y,N,850,665,Washington Senators,437533,
1934,AL,WS1,MIN,,7,155,66,86,,,N,N,729,806,Washington Senators,330074,
1935,AL,WS1,MIN,,6,154,67,86,,,N,N,823,903,Washington Senators,255011,
1936,AL,WS1,MIN,,3,153,82,71,,,N,N,889,799,Washington Senators,379525,
1937,AL,WS1,MIN,,6,158,73,80,,,N,N,757,841,Washington Senators,397799,
1938,AL,WS1,MIN,,5,152,75,76,,,N,N,814,873,Washington Senators,522694,
1939,AL,WS1,MIN,,6,153,65,87,,,N,N,702,797,Washington Senators,339257,
1940,AL,WS1,MIN,,7,154,64,90,,,N,N,665,811,Washington Senators,381241,
1941,AL,WS1,MIN,,6,156,70,84,,,N,N,728,798,Washington Senators,415663,
1942,AL,WS1,MIN,,7,151,62,89,,,N,N,653,817,Washington Senators,403493,
1943,AL,WS1,MIN,,2,153,84,69,,,N,N,666,595,Washington Senators,574694,
1944,AL,WS1,MIN,,8,154,64,90,,,N,N,592,664,Washington Senators,525235,
1945,AL,WS1,MIN,,2,156,87,67,,,N,N,622,562,Washington Senators,652660,
1946,AL,WS1,MIN,,4,155,76,78,,,N,N,608,706,Washington Senators,1027216,
1947,AL,WS1,MIN,,7,154,64,90,,,N,N,496,675,Washington Senators,850758,
1948,AL,WS1,MIN,,7,154,56,97,,,N,N,578,796,Washington Senators,795254,
1949,AL,WS1,MIN,,8,154,50,104,,,N,N,584,868,Washington Senators,770745,
1950,AL,WS1,MIN,,5,155,67,87,,,N,N,690,813,Washington Senators,699697,
1951,AL,WS1,MIN,,7,154,62,92,,,N,N,672,764,Washington Senators,695167,
1952,AL,WS1,MIN,,5,157,78,76,,,N,N,598,608,Washington Senators,699457,
1953,AL,WS1,MIN,,5,152,76,76,,,N,N,687,614,Washington Senators,595594,
1954,AL,WS1,MIN,,6,155,66,88,,,N,N,632,680,Washington Senators,503542,
1955,AL,WS1,MIN,,8,154,53,101,,,N,N,598,789,Washington Senators,425238,
1956,AL,WS1,MIN,,7,155,59,95,,,N,N,652,924,Washington Senators,431647,
1957,AL,WS1,MIN,,8,154,55,99,,,N,N,603,808,Washington Senators,457079,
1958,AL,WS1,MIN,,8,156,61,93,,,N,N,553,747,Washington Senators,475288,
1959,AL,WS1,MIN,,8,154,63,91,,,N,N,619,701,Washington Senators,615372,
1960,AL,WS1,MIN,,5,154,73,81,,,N,N,672,696,Washington Senators,743404,
1961,AL,MIN,MIN,,7,161,70,90,,,N,N,707,778,Minnesota Twins,1256723,
1962,AL,MIN,MIN,,2,163,91,71,,,N,N,798,713,Minnesota Twins,1433116,
1963,AL,MIN,MIN,,3,161,91,70,,,N,N,767,602,Minnesota Twins,1406652,
1964,AL,MIN,MIN,,6,163,79,83,,,N,N,737,678,Minnesota Twins,1207514,
1965,AL,MIN,MIN,,1,162,102,60,,,Y,N,774,600,Minnesota Twins,1463258,
1966,AL,MIN,MIN,,2,162,89,73,,,N,N,663,581,Minnesota Twins,1259374,
1967,AL,MIN,MIN,,2,164,91,71,,,N,N,671,590,Minnesota Twins,1483547,
1968,AL,MIN,MIN,,7,162,79,83,,,N,N,562,546,Minnesota Twins,1143257,
1969,AL,MIN,MIN,W,1,162,97,65,Y,,N,N,790,618,Minnesota Twins,1349328,
1970,AL,MIN,MIN,W,1,162,98,64,Y,,N,N,744,605,Minnesota Twins,1261887,
1971,AL,MIN,MIN,W,5,160,74,86,N,,N,N,654,670,Minnesota Twins,940858,
1972,AL,MIN,MIN,W,3,154,77,77,N,,N,N,537,535,Minnesota Twins,797901,
1973,AL,MIN,MIN,W,3,162,81,81,N,,N,N,738,692,Minnesota Twins,907499,
1974,AL,MIN,MIN,W,3,163,82,80,N,,N,N,673,669,Minnesota Twins,662401,
1975,AL,MIN,MIN,W,4,159,76,83,N,,N,N,724,736,Minnesota Twins,737156,
1976,AL,MIN,MIN,W,3,162,85,77,N,,N,N,743,704,Minnesota Twins,715394,
1977,AL,MIN,MIN,W,4,161,84,77,N,,N,N,867,776,Minnesota Twins,1162727,
1978,AL,MIN,MIN,W,4,162,73,89,N,,N,N,666,678,Minnesota Twins,787878,
1979,AL,MIN,MIN,W,4,162,82,80,N,,N,N,764,725,Minnesota Twins,1070521,
1980,AL,MIN,MIN,W,3,161,77,84,N,,N,N,670,724,Minnesota Twins,769206,
1981,AL,MIN,MIN,W,7,110,41,68,N,,N,N,378,486,Minnesota Twins,469090,
1982,AL,MIN,MIN,W,7,162,60,102,N,,N,N,657,819,Minnesota Twins,921186,
1983,AL,MIN,MIN,W,5,162,70,92,N,,N,N,709,822,Minnesota Twins,858939,
1984,AL,MIN,MIN,W,2,162,81,81,N,,N,N,673,675,Minnesota Twins,1598692,
1985,AL,MIN,MIN,W,4,162,77,85,N,,N,N,705,782,Minnesota Twins,1651814,5764821
1986,AL,MIN,MIN,W,6,162,71,91,N,,N,N,741,839,Minnesota Twins,1255453,8748167
1987,AL,MIN,MIN,W,1,162,85,77,Y,,Y,Y,786,806,Minnesota Twins,2081976,6397500
1988,AL,MIN,MIN,W,2,162,91,71,N,,N,N,759,672,Minnesota Twins,3030672,12462666
1989,AL,MIN,MIN,W,5,162,80,82,N,,N,N,740,738,Minnesota Twins,2277438,15531666
1990,AL,MIN,MIN,W,7,162,74,88,N,,N,N,666,729,Minnesota Twins,1751584,14602000
1991,AL,MIN,MIN,W,1,162,95,67,Y,,Y,Y,776,652,Minnesota Twins,2293842,23361833
1992,AL,MIN,MIN,W,2,162,90,72,N,,N,N,747,653,Minnesota Twins,2482428,28027834
1993,AL,MIN,MIN,W,5,162,71,91,N,,N,N,693,830,Minnesota Twins,2048673,28217933
1994,AL,MIN,MIN,C,4,113,53,60,,,,,594,688,Minnesota Twins,1398565,28438500
1995,AL,MIN,MIN,C,5,144,56,88,N,N,N,N,703,889,Minnesota Twins,1057667,25410500
1996,AL,MIN,MIN,C,4,162,78,84,N,N,N,N,877,900,Minnesota Twins,1437352,23117000
1997,AL,MIN,MIN,C,4,162,68,94,N,N,N,N,772,861,Minnesota Twins,1411064,34072500
1998,AL,MIN,MIN,C,4,162,70,92,N,N,N,N,734,818,Minnesota Twins,1165976,27927500
1999,AL,MIN,MIN,C,5,161,63,97,N,N,N,N,686,845,Minnesota Twins,1202829,21257500
2000,AL,MIN,MIN,C,5,162,69,93,N,N,N,N,748,880,Minnesota Twins,1000760,16519500
2001,AL,MIN,MIN,C,2,162,85,77,N,N,N,N,771,766,Minnesota Twins,1782929,24130000
2002,AL,MIN,MIN,C,1,161,94,67,Y,N,N,N,768,712,Minnesota Twins,1924473,40425000
2003,AL,MIN,MIN,C,1,162,90,72,Y,N,N,N,801,758,Minnesota Twins,1946011,55505000
2004,AL,MIN,MIN,C,1,162,92,70,Y,N,N,N,780,715,Minnesota Twins,1911490,53585000
2005,AL,MIN,MIN,C,3,162,83,79,N,N,N,N,688,662,Minnesota Twins,2034243,56186000
2006,AL,MIN,MIN,C,1,162,96,66,Y,N,N,N,801,683,Minnesota Twins,2285018,63396006
2007,AL,MIN,MIN,C,3,162,79,83,N,N,N,N,718,725,Minnesota Twins,2296383,71439500
2008,AL,MIN,MIN,C,2,163,88,75,N,N,N,N,829,745,Minnesota Twins,2302431,56932766
2009,AL,MIN,MIN,C,1,163,87,76,Y,N,N,N,817,765,Minnesota Twins,2416237,65299266
2010,AL,MIN,MIN,C,1,162,94,68,Y,N,N,N,781,671,Minnesota Twins,3223640,97559166
2011,AL,MIN,MIN,C,5,162,63,99,N,N,N,N,619,804,Minnesota Twins,3168116,112737000
2012,AL,MIN,MIN,C,5,162,66,96,N,N,N,N,701,832,Minnesota Twins,2776354,94085000
2013,AL,MIN,MIN,C,4,162,66,96,N,N,N,N,614,788,Minnesota Twins,2477644,75337500
2014,AL,MIN,MIN,C,5,162,70,92,N,N,N,N,715,777,Minnesota Twins,2250606,83762500
2015,AL,MIN,MIN,C,2,162,83,79,N,N,N,N,696,700,Minnesota Twins,2220054,107755000
2016,AL,MIN,MIN,C,5,162,59,103,N,N,N,N,722,889,Minnesota Twins,1963912,102583200
2017,AL,MIN,MIN,C,2,162,85,77,N,Y,N,N,815,788,Minnesota Twins,2051279,108077500
2018,AL,MIN,MIN,C,2,162,78,84,N,N,N,N,738,775,Minnesota Twins,1959197,131910000
2019,AL,MIN,MIN,C,1,162,101,61,Y,N,N,N,939,754,Minnesota Twins,2294152,113326933
2020,AL,MIN,MIN,C,1,60,36,24,Y,N,N,N,269,215,Minnesota Twins,0,48747770
1962,NL,NYN,NYM,,10,161,40,120,,,N,N,617,948,New York Mets,922530,
1963,NL,NYN,NYM,,10,162,51,111,,,N,N,501,774,New York Mets,1080108,
1964,NL,NYN,NYM,,10,163,53,109,,,N,N,569,776,New York Mets,1732597,
1965,NL,NYN,NYM,,10,164,50,112,,,N,N,495,752,New York Mets,1768389,
1966,NL,NYN,NYM,,9,161,66,95,,,N,N,587,761,New York Mets,1932693,
1967,NL,NYN,NYM,,10,162,61,101,,,N,N,498,672,New York Mets,1565492,
1968,NL,NYN,NYM,,9,163,73,89,,,N,N,473,499,New York Mets,1781657,
1969,NL,NYN,NYM,E,1,162,100,62,Y,,Y,Y,632,541,New York Mets,2175373,
1970,NL,NYN,NYM,E,3,162,83,79,N,,N,N,695,630,New York Mets,2697479,
1971,NL,NYN,NYM,E,3,162,83,79,N,,N,N,588,550,New York Mets,2266680,
1972,NL,NYN,NYM,E,3,156,83,73,N,,N,N,528,578,New York Mets,2134185,
1973,NL,NYN,NYM,E,1,161,82,79,Y,,Y,N,608,588,New York Mets,1912390,
1974,NL,NYN,NYM,E,5,162,71,91,N,,N,N,572,646,New York Mets,1722209,
1975,NL,NYN,NYM,E,3,162,82,80,N,,N,N,646,625,New York Mets,1730566,
1976,NL,NYN,NYM,E,3,162,86,76,N,,N,N,615,538,New York Mets,1468754,
1977,NL,NYN,NYM,E,6,162,64,98,N,,N,N,587,663,New York Mets,1066825,
1978,NL,NYN,NYM,E,6,162,66,96,N,,N,N,607,690,New York Mets,1007328,
1979,NL,NYN,NYM,E,6,163,63,99,N,,N,N,593,706,New York Mets,788905,
1980,NL,NYN,NYM,E,5,162,67,95,N,,N,N,611,702,New York Mets,1192073,
1981,NL,NYN,NYM,E,5,105,41,62,N,,N,N,348,432,New York Mets,704244,
1982,NL,NYN,NYM,E,6,162,65,97,N,,N,N,609,723,New York Mets,1323036,
1983,NL,NYN,NYM,E,6,162,68,94,N,,N,N,575,680,New York Mets,1112774,
1984,NL,NYN,NYM,E,2,162,90,72,N,,N,N,652,676,New York Mets,1842695,
1985,NL,NYN,NYM,E,2,162,98,64,N,,N,N,695,568,New York Mets,2761601,10834762
1986,NL,NYN,NYM,E,1,162,108,54,Y,,Y,Y,783,578,New York Mets,2767601,15393714
1987,NL,NYN,NYM,E,2,162,92,70,N,,N,N,823,698,New York Mets,3034129,13846714
1988,NL,NYN,NYM,E,1,160,100,60,Y,,N,N,703,532,New York Mets,3055445,15269314
1989,NL,NYN,NYM,E,2,162,87,75,N,,N,N,683,595,New York Mets,2918710,19885071
1990,NL,NYN,NYM,E,2,162,91,71,N,,N,N,775,613,New York Mets,2732745,21722834
1991,NL,NYN,NYM,E,5,161,77,84,N,,N,N,640,646,New York Mets,2284484,32590001
1992,NL,NYN,NYM,E,5,162,72,90,N,,N,N,599,653,New York Mets,1779534,44602002
1993,NL,NYN,NYM,E,7,162,59,103,N,,N,N,672,744,New York Mets,1873183,39043667
1994,NL,NYN,NYM,E,3,113,55,58,,,,,506,526,New York Mets,1151471,30956583
1995,NL,NYN,NYM,E,2,144,69,75,N,N,N,N,657,618,New York Mets,1273183,27674992
1996,NL,NYN,NYM,E,4,162,71,91,N,N,N,N,746,779,New York Mets,1588323,24479500
1997,NL,NYN,NYM,E,3,162,88,74,N,N,N,N,777,709,New York Mets,1766174,39800400
1998,NL,NYN,NYM,E,2,162,88,74,N,N,N,N,706,645,New York Mets,2287948,52077999
1999,NL,NYN,NYM,E,2,163,97,66,N,Y,N,N,853,711,New York Mets,2725668,65092092
2000,NL,NYN,NYM,E,2,162,94,68,N,Y,Y,N,807,738,New York Mets,2820530,79509776
2001,NL,NYN,NYM,E,3,162,82,80,N,N,N,N,642,713,New York Mets,2658330,93174428
2002,NL,NYN,NYM,E,5,161,75,86,N,N,N,N,690,703,New York Mets,2804838,94633593
2003,NL,NYN,NYM,E,5,161,66,95,N,N,N,N,642,754,New York Mets,2140599,116876429
2004,NL,NYN,NYM,E,4,162,71,91,N,N,N,N,684,731,New York Mets,2318951,96660970
2005,NL,NYN,NYM,E,3,162,83,79,N,N,N,N,722,648,New York Mets,2829929,101305821
2006,NL,NYN,NYM,E,1,162,97,65,Y,N,N,N,834,731,New York Mets,3379535,101084963
2007,NL,NYN,NYM,E,2,162,88,74,N,N,N,N,804,750,New York Mets,3853955,115231663
2008,NL,NYN,NYM,E,2,162,89,73,N,N,N,N,799,715,New York Mets,4042045,137793376
2009,NL,NYN,NYM,E,4,162,70,92,N,N,N,N,671,757,New York Mets,3168571,149373987
2010,NL,NYN,NYM,E,4,162,79,83,N,N,N,N,656,652,New York Mets,2559738,134422942
2011,NL,NYN,NYM,E,4,162,77,85,N,N,N,N,718,742,New York Mets,2352596,118847309
2012,NL,NYN,NYM,E,4,162,74,88,N,N,N,N,650,709,New York Mets,2242803,93353983
2013,NL,NYN,NYM,E,4,162,74,88,N,N,N,N,619,684,New York Mets,2135657,49448346
2014,NL,NYN,NYM,E,3,162,79,83,N,N,N,N,629,618,New York Mets,2148808,85556990
2015,NL,NYN,NYM,E,1,162,90,72,Y,N,Y,N,683,613,New York Mets,2569753,96766683
2016,NL,NYN,NYM,E,2,162,87,75,N,Y,N,N,671,617,New York Mets,2789602,133889129
2017,NL,NYN,NYM,E,4,162,70,92,N,N,N,N,735,863,New York Mets,2460622,155187460
2018,NL,NYN,NYM,E,4,162,77,85,N,N,N,N,676,707,New York Mets,2224995,154610000
2019,NL,NYN,NYM,E,3,162,86,76,N,N,N,N,791,737,New York Mets,2442532,142149270
2020,NL,NYN,NYM,E,4,60,26,34,N,N,N,N,286,308,New York Mets,0,80296949
1901,AL,BLA,NYY,,5,134,68,65,,,N,,760,750,Baltimore Orioles,141952,
